alley_id,alley_name,section_id,pid,from_street,to_street,surface,width_ft,slab_length_ft,slab_width_ft,construction_date,construction_year,general_condition,pci_2022_2023,pci_2024,pci_change,pci_2024_band,scheduled_build_year,in_2026_cip,length_ft,object_id,centroid_latitude,centroid_longitude
377,ALLEY 377,00,ALLEYS::377::00,North End,Erie St,PCC,12,10,6,2007-06-01,2007,,94,94,0,80-100,,N,184.6,152,41.8920896,-87.8045155
368,ALLEY 368,00,ALLEYS::368::00,Lake St,Alley 368 E,PCC,16,12,8,2004-06-01,2004,,91,91,0,80-100,,N,120.4,153,41.8884604,-87.8013336
368-E,ALLEY 368-E,00,ALLEYS::368-E::00,West End,Alley 368,PCC,16,15,6,2004-06-01,2004,,36,36,0,0-39,,N,48.9,154,41.8883438,-87.8014373
368-W,ALLEY 368-W,00,ALLEYS::368-W::00,N Marion St,East End,PCC,16,16,20,2004-06-01,2004,,58,61,3,60-79,,N,208.8,155,41.8883299,-87.8020278
370-E,ALLEY 370-E,00,ALLEYS::370-E::00,Alley 370,N Marion St,PCC,16,10,6,2016-06-01,2016,,94,93,-1,80-100,,N,159.1,156,41.8882736,-87.8027014
370,ALLEY 370,00,ALLEYS::370::00,Alley 370 W,Westgate St,PCC,16,10,6,2016-06-01,2016,,98,98,0,80-100,,N,128.5,157,41.8880907,-87.8029866
370-W,ALLEY 370-W,00,ALLEYS::370-W::00,West End,Alley 370,PCC,16,10,6,2016-06-01,2016,,98,98,0,80-100,,N,113.7,158,41.8882621,-87.803202
369-W,ALLEY 369-W,00,ALLEYS::369-W::00,West End,Alley 369,PCC,18,10,6,2016-06-01,2016,,96,96,0,80-100,,N,60.2,159,41.8875164,-87.8030752
369,ALLEY 369,00,ALLEYS::369::00,Alley 369 W,North Blvd,PCC,18,10,6,1970-06-01,1970,,97,97,0,80-100,,N,137.5,160,41.8873303,-87.8029574
464,ALLEY 464,00,ALLEYS::464::00,S Marion St,Home Ave,PCC,18,18,6,2016-06-01,2016,,90,91,1,80-100,,N,662.4,161,41.8861918,-87.8013196
465-E,ALLEY 465-E,00,ALLEYS::465-E::00,Pleasant Pl,East End,AC,18,0,0,1900-01-01,1900,,38,38,0,0-39,,N,197.5,162,41.8837701,-87.8013313
465,ALLEY 465,00,ALLEYS::465::00,North End,Randolph St,AC,20,0,0,1975-06-01,1975,,53,53,0,40-59,,N,359.6,163,41.8837724,-87.8016941
470,ALLEY 470,00,ALLEYS::470::00,Pleasant St,280 ft N of Randolph St,AC,18,0,0,1970-06-01,1970,,34,100,66,80-100,,N,516.6,164,41.8847268,-87.8032657
