object_id,common_name,latin_name,genus,genus_source,dbh_in,height_ft,spread_ft,latitude,longitude,nearest_street,block,block_distance_ft,global_id
5715,LINDEN-AMERICAN,Tilia americana,Tilia,latin,20,40,30,41.9053413,-87.794875,N OAK PARK AVE,1000 N OAK PARK AVE,22.6,0506d048-7886-4490-b635-536d311e7d72
5716,KENTUCKY COFFEETREE,Gymnocladus dioicus,Gymnocladus,latin,12,30,20,41.9050627,-87.7948599,N OAK PARK AVE,1000 N OAK PARK AVE,24.7,7e78ff67-2c71-40dc-b543-aef4388fa69e
5718,MAPLE-NORWAY,Acer platanoides,Acer,latin,12,30,20,41.904823,-87.7948607,N OAK PARK AVE,1000 N OAK PARK AVE,22.8,d0cf7679-2166-46b9-ba17-20a8cddddc67
5719,ELM-AMERICAN,Ulmus americana,Ulmus,latin,37,60,50,41.9045678,-87.7948518,N OAK PARK AVE,1000 N OAK PARK AVE,23.4,f876bbed-1643-4cfc-b4b2-3b5070851176
5720,MAPLE-SUGAR,Acer saccharum,Acer,latin,20,40,30,41.9044292,-87.7948481,N OAK PARK AVE,1000 N OAK PARK AVE,23.5,4d6a2576-2cda-4808-83e2-bf107a4f89a2
5721,ELM-HYBRID,Ulmus x spp,Ulmus,latin,10,30,20,41.9042839,-87.7948431,N OAK PARK AVE,1000 N OAK PARK AVE,23.8,783fb8d6-f8eb-4b6f-9514-115bdfd40f69
5722,MAPLE-AUTUMN BLAZE,Acer x freemanii 'Jeffersred',Acer,latin,11,30,20,41.9040588,-87.7948407,N OAK PARK AVE,1000 N OAK PARK AVE,22.9,6628f79a-a6d0-4869-a25e-98666e902555
5723,MAPLE-AUTUMN BLAZE,Acer x freemanii 'Jeffersred',Acer,latin,11,30,20,41.9039461,-87.7948351,N OAK PARK AVE,1000 N OAK PARK AVE,23.6,cfd22ae9-b14f-43ea-b98b-9795de5a3908
5724,ZELKOVA,Zelkova serrata,Zelkova,latin,23,40,30,41.9038779,-87.7948321,N OAK PARK AVE,1000 N OAK PARK AVE,23.9,7bd8bd1e-32ce-41d5-b18d-1ad44513a565
5725,MAPLE-FREEMAN,Acer x freemanii 'Jeffersred',Acer,latin,12,40,20,41.9038016,-87.7948257,N OAK PARK AVE,1000 N OAK PARK AVE,25.1,590c296a-6efc-4cde-8f10-4f30ab5c45a7
5726,OAK-ENGLISH,Quercus robur,Quercus,latin,11,30,10,41.9034864,-87.7948205,N OAK PARK AVE,900 N OAK PARK AVE,24.3,34ba02ea-3695-4e88-ad02-58999fa7c4cf
5727,MAPLE-RED,Acer rubrum,Acer,latin,6,20,20,41.9033856,-87.7948202,N OAK PARK AVE,900 N OAK PARK AVE,23.7,3266dd39-8aa5-4af1-9f59-566ee51ec104
5728,ELM-HYBRID,Ulmus 'Morton Red Tip',Ulmus,latin,12,30,20,41.9032368,-87.7948092,N OAK PARK AVE,900 N OAK PARK AVE,25.6,7329faec-03ca-48ee-ba28-7b7bd5468b94
5729,HONEYLOCUST,Gleditsia triacanthos,Gleditsia,latin,7,20,20,41.9031676,-87.7948168,N OAK PARK AVE,900 N OAK PARK AVE,23.1,5a241553-d54a-47fc-a5f4-7db7db1ceb66
5730,ELM-HYBRID,Ulmus 'Morton Red Tip',Ulmus,latin,15,30,20,41.9030511,-87.7947989,N OAK PARK AVE,900 N OAK PARK AVE,27.2,cee79bb8-5b17-4ce5-b778-9928b274b5d5
5731,PEAR-CALLERY,Pyrus calleryana,Pyrus,latin,24,40,30,41.9027736,-87.7948074,N OAK PARK AVE,900 N OAK PARK AVE,22.9,e2ac6698-b455-45c4-af27-87805d2bb6d7
5732,HONEYLOCUST,Gleditsia triacanthos,Gleditsia,latin,25,40,50,41.9026449,-87.7947979,N OAK PARK AVE,900 N OAK PARK AVE,24.6,75d36f27-aa2c-4ce3-8b6a-57b00bf79c66
5733,GINKGO,Ginkgo biloba,Ginkgo,latin,14,30,20,41.9025699,-87.7948025,N OAK PARK AVE,900 N OAK PARK AVE,22.8,9283d93c-cbb7-444c-b1a7-f7be16531441
5734,HACKBERRY,Celtis occidentalis,Celtis,latin,17,30,30,41.902478,-87.7947994,N OAK PARK AVE,900 N OAK PARK AVE,23.0,4de402ee-43d5-4ee9-a671-334a0f539ebf
5735,MAPLE-RED,Acer rubrum,Acer,latin,18,40,30,41.9022889,-87.7947967,N OAK PARK AVE,900 N OAK PARK AVE,22.4,38b10ca9-bbeb-4a29-aa64-17be830b5635
5736,LONDON PLANETREE,Platanus x acerifolia,Platanus,latin,7,30,20,41.9021025,-87.7947786,N OAK PARK AVE,900 N OAK PARK AVE,25.9,30d38fb7-7055-41a0-a1c7-e22d8b51d680
5737,MAPLE-RED,Acer rubrum,Acer,latin,8,30,10,41.9018433,-87.7947856,N OAK PARK AVE,900 N OAK PARK AVE,22.2,afa09882-65cf-45b6-939b-6363f5cc52ca
5738,HONEYLOCUST,Gleditsia triacanthos,Gleditsia,latin,10,20,20,41.9021122,-87.7949563,N OAK PARK AVE,900 N OAK PARK AVE,22.2,c52658a8-921b-4fb1-9661-cf1e4fbd365a
5739,LINDEN-AMERICAN,Tilia americana,Tilia,latin,17,40,20,41.9022527,-87.7949625,N OAK PARK AVE,900 N OAK PARK AVE,22.9,2a53f6e4-516d-466e-9c71-b86a829e1dcf
5740,HACKBERRY,Celtis occidentalis,Celtis,latin,23,30,40,41.9023801,-87.7949672,N OAK PARK AVE,900 N OAK PARK AVE,23.2,2e47a33b-3930-4f62-8983-7c84387e67fb
5741,MAPLE-FREEMAN,Acer x freemanii 'Jeffersred',Acer,latin,6,30,20,41.902507,-87.7949713,N OAK PARK AVE,900 N OAK PARK AVE,23.4,31b33dd8-2c11-44d3-a3c8-6ef2fb8c50df
5744,SYCAMORE,Platanus occidentalis,Platanus,latin,28,50,50,41.9029291,-87.7949774,N OAK PARK AVE,900 N OAK PARK AVE,22.1,4a9d4abb-4493-49dc-95c9-2d84ddef05e5
5745,GINKGO,Ginkgo biloba,Ginkgo,latin,15,40,20,41.9031253,-87.7949892,N OAK PARK AVE,900 N OAK PARK AVE,24.0,b45d1e55-f927-47ef-9fa6-fc257ca0c0ad
5746,KENTUCKY COFFEETREE,Gymnocladus dioicus,Gymnocladus,latin,6,30,20,41.9032699,-87.7949983,N OAK PARK AVE,900 N OAK PARK AVE,25.4,eab555d8-1fd2-4792-ab04-91b939b813b8
