objectid,address,building_historical_name,building_current_name,architect,builder,developer,significant_owner,style_primary,style_secondary,form,construction_decade,construction_year,construction_year_certainty,construction_year_source,resource_rating,is_individually_eligible,local_landmark,local_listed_district,local_listing,nr_landmark,nr_listed_individually,nr_listed_district,nr_listing,eligibility_remarks,previous_survey_name,historical_summary,notes,references,image_url,form_url,latitude,longitude,historic_district
39,256 LAKE ST,,,,,,,Folk/Traditional,,gable front,1870-1879,1875,approximate,,Non-Contributing,No,No,Yes,Ridgeland/Oak Park Historic District 1994,No,No,Yes,Ridgeland/Oak Park National Register District 1983,,Second District Survey 1978,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/13261__ILLINOIS_COOK__(256-Lake-St)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/13261__ILLINOIS_COOK__(256-Lake-St).pdf,41.8885331,-87.7824515,Ridgeland - Oak Park
40,163 N LOMBARD AVE,,,,E. A. Cummings,,E. A. Cummings,,,,1870-1879,1878,approximate,Village of Oak Park building permit archives.,Contributing,No,No,No,,No,No,No,,,,"163 N Lombard Ave is a non-contributing building within the Ridgeland-Oak Park Historic District due to extensive alterations, including a brick veneer, and a resulting loss of historic integrity. The brick veneer and other alterations were completed in 1941.",,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/23511__ILLINOIS_COOK__(163-N-Lombard-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/23511__ILLINOIS_COOK__(163-N-Lombard-Ave).pdf,41.8897202,-87.7802341,Ridgeland - Oak Park
41,121 S MAPLE AVE,,,,,,,Italianate,,,1870-1879,1875,approximate,,Contributing,No,No,No,,No,No,Yes,Ridgland/Oak Park Historic District 1983,,Second District Survey 1978,"Typical of Italianate style dwellings, this house has both single and paired bracketing under the eaves. Dropboards cap the long, narrow windows. The bay, which extends 2.5 stories, displays a variety of trim styles, including thin, decorative columns and panels painted in contrasting colors. The covered porch protects the double doors at the entrance. A small oval window on the north and another bay on the south enhance the otherwise plain side elevations (Ridgeland Revealed p15).",,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/16076__ILLINOIS_COOK__(121-S-Maple-Ave)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/16076__ILLINOIS_COOK__(121-S-Maple-Ave).pdf,41.885882,-87.8044091,Ridgeland - Oak Park
42,225 N MARION ST,,,,T. J. Radke,,T. J. Radke,,,,1870-1879,1870,approximate,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,,,225 N Marion St was likely built ca. 1870. It appears on the 1895 Sanborn map. Alterations were made in 1902 by owner/builder T.J. Radke (permit records).,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/21849__ILLINOIS_COOK__(225-N-Marion-St)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/21849__ILLINOIS_COOK__(225-N-Marion-St).pdf,41.8915524,-87.8030171,Frank Lloyd Wright
43,308 N OAK PARK AVE,Rutherford-Dodge House,,,,,Thomas Rutherford / Roger and Francis Dodge,Italianate,,Italianate,1870-1879,1877,approximate,Title Search - Cook County Recorder of Deeds,Contributing,No,Yes,Yes,"Oak Park Historic Landmark, 2011",No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,,Oak Park Survey 1970,See attached Historic Landmark nomination report,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/13136__ILLINOIS_COOK__(308-N-Oak-Park-Ave)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/13136__ILLINOIS_COOK__(308-N-Oak-Park-Ave).pdf,41.891951,-87.7941308,Frank Lloyd Wright
44,1024 ONTARIO ST,,,,,,,Folk/Traditional,,gable front,1870-1879,1872,approximate,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District,,,1024 Ontario St was constructed ca. 1872. There is no building permit available at Village Hall. The current front porch was added in 2013.,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/20669__ILLINOIS_COOK__(1024-Ontario-St)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/20669__ILLINOIS_COOK__(1024-Ontario-St).pdf,41.8909021,-87.8014423,Frank Lloyd Wright
45,305 N RIDGELAND AVE,,,,,,Anson T. Hemingway,Italianate,,,1870-1879,1872,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District,,Oak Park Survey 1970 / Frank Lloyd Wright Survey 2007,305 N Ridgeland Ave (originally N 64th Ave) is a contributing building within the Frank Lloyd Wright-Prairie School of Architecture Historic District. The house was built in 1872 and originally owned by Anson T. Hemingway.,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/17658__ILLINOIS_COOK__(305-N-Ridgeland-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/17658__ILLINOIS_COOK__(305-N-Ridgeland-Ave).pdf,41.891991,-87.7851698,Frank Lloyd Wright
46,403 N RIDGELAND AVE,,,,,,,Folk/Traditional,,gable front,1870-1879,1874,approximate,Historical Society of Oak Park & River Forest,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District,,Oak Park Survey 1970 / Frank Lloyd Wright Survey 2007,"403 N Ridgeland Ave (originally N 64th Ave) is a contributing building within the Frank Lloyd Wright-Prairie School of Architecture Historic District. It was built ca. 1874, based on information from the Historical Society of Oak Park & River Forest.",,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/17666__ILLINOIS_COOK__(403-N-Ridgeland-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/17666__ILLINOIS_COOK__(403-N-Ridgeland-Ave).pdf,41.893273,-87.7852472,Frank Lloyd Wright
47,115 S RIDGELAND AVE,,,,,,F. Dore General Store,,,,1870-1879,1870,approximate,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Ridgeland-Oak Park Historic District,No,No,Yes,Ridgeland-Oak Park Historic District,,,115 S Ridgeland Ave (originally S 64th Ave) is a contributing building within the Ridgeland-Oak Park Historic District. The house was constructed circa 1870 and served as the general store and schoolhouse for the Town of Ridgeland prior to merging with Oak Park. It has since been converted into a single-family home.,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/21543__ILLINOIS_COOK__(115-S-Ridgeland-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/21543__ILLINOIS_COOK__(115-S-Ridgeland-Ave).pdf,41.8863603,-87.7849222,Ridgeland - Oak Park
48,915 SOUTH BLVD,,,,,,,,,,1870-1879,1875,approximate,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Ridgeland-Oak Park Historic District,No,No,Yes,Ridgeland-Oak Park Historic District,,,The house at 915 South Blvd was moved to this location in 1878.,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/23596__ILLINOIS_COOK__(915-South-Blvd)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/23596__ILLINOIS_COOK__(915-South-Blvd).pdf,41.8865522,-87.7979659,Ridgeland - Oak Park
49,1111 SUPERIOR ST,,,,,,Walter N. Kettlestrings,,,,1870-1879,1879,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District,,,"1111 Superior was first occupied by Walter N. Kettlestrings, son of Mr. and Mrs. Joseph Kettlestrings, the first settlers in Oak Park. A sun porch was added on the east side elevation by Mrs. Fred Dupuy, the daughter of Walter Kettlestrings. The house was originally built on the corner of Marion and Superior. In 1893 the original property was sold and the house was moved across the street. A fire occurred on the second floor in 1949 but the first floor was undamaged. Mrs. Dupuy was still in residence at the house in 1952.",,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/22024__ILLINOIS_COOK__(1111-Superior-St)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/22024__ILLINOIS_COOK__(1111-Superior-St).pdf,41.8928572,-87.8033436,Frank Lloyd Wright
50,603 WOODBINE AVE,,,,,,,,,,1870-1879,1876,documented,Property owner circa 2019 research,Non-Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District,,,The building is a Contributing Resource in the historic district. The house was constructed in 1876.,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/21797__ILLINOIS_COOK__(603-Woodbine-Ave)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/21797__ILLINOIS_COOK__(603-Woodbine-Ave).pdf,41.8962534,-87.7995216,Frank Lloyd Wright
51,738 BELLEFORTE AVE,,,,,,,Vernacular,,gable front,1880-1889,1888,approximate,,Contributing,No,No,Yes,"Frank Lloyd Wright-Prairie School of Architecture, 2012",No,No,Yes,"Frank Lloyd Wright-Prairie School of Architecture, 2009",,Oak Park Survey 1970,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/8162__ILLINOIS_COOK__(738-Belleforte-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/8162__ILLINOIS_COOK__(738-Belleforte-Ave).pdf,41.89935,-87.8020805,Frank Lloyd Wright
52,803 BELLEFORTE AVE,,,,,,,Queen Anne,,gable front,1880-1889,1888,approximate,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,,,1913 addition,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/8214__ILLINOIS_COOK__(803-Belleforte-Ave)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/8214__ILLINOIS_COOK__(803-Belleforte-Ave).pdf,41.899939,-87.8027836,Frank Lloyd Wright
53,813 BELLEFORTE AVE,,,,,,,Queen Anne,,gable front,1880-1889,1896,approximate,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/8223__ILLINOIS_COOK__(813-Belleforte-Ave)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/8223__ILLINOIS_COOK__(813-Belleforte-Ave).pdf,41.900295,-87.8027732,Frank Lloyd Wright
54,821 BELLEFORTE AVE,,,,,,,Italianate,,gable front,1880-1889,1888,approximate,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/14858__ILLINOIS_COOK__(821-Belleforte-Ave)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/14858__ILLINOIS_COOK__(821-Belleforte-Ave).pdf,41.900585,-87.8027547,Frank Lloyd Wright
55,847 CHICAGO AVE,,,,,,,Italianate,,Gable and Wing,1880-1889,1884,documented,Historical Society of Oak Park & River Forest,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,,Oak Park Survey 1970,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/8275__ILLINOIS_COOK__(847-Chicago-Ave)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/8275__ILLINOIS_COOK__(847-Chicago-Ave).pdf,41.8941391,-87.7969608,Frank Lloyd Wright
56,925 CHICAGO AVE,,,,,,,Italianate,,Italianate,1880-1889,1888,approximate,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,,Oak Park Survey 1970,Altered in 1909 by C. E. Anderson for J. P. Kraft.,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/8279__ILLINOIS_COOK__(925-Chicago-Ave)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/8279__ILLINOIS_COOK__(925-Chicago-Ave).pdf,41.8940657,-87.798884,Frank Lloyd Wright
57,936 CHICAGO AVE,Hafner House,,,,,Chris Hafner,Queen Anne,,Queen Anne,1880-1889,1888,documented,Historical Society of Oak Park & River Forest,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,,Oak Park Survey 1970,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/8281__ILLINOIS_COOK__(936-Chicago-Ave)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/8281__ILLINOIS_COOK__(936-Chicago-Ave).pdf,41.894634,-87.799351,Frank Lloyd Wright
58,951 CHICAGO AVE,Frank Lloyd Wright Home and Studio,Frank Lloyd Wright Home and Studio,Frank Lloyd Wright,,,FLW Home and Studio,Shingle Style,Prairie School,,1880-1889,1889,documented,Village of Oak Park building permit archives.,Contributing,No,Yes,Yes,"Oak Park Historic Landmark, 1996 / FLW-Prairie School Historic District",Yes,No,Yes,"National Historic Landmark, 1976 / FLW-Prairie School Historic District",Designated an Oak Park Historic Landmark in 1996. Designated a National Historic Landmark in 1976.,Oak Park Survey 1970,"The original home was constructed in 1889 and has an 1895 playroom addition. The studio was built in 1898 and remodeled by Wright in 1911, converting the studio into living quarters for his family and the home into rental property, adding a garage and apartment. The building was restored to its 1909 appearance between 1974-1987. See attached Historic Landmark nomination report.",,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/8285__ILLINOIS_COOK__(951-Chicago-Ave)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/8285__ILLINOIS_COOK__(951-Chicago-Ave).pdf,41.8940631,-87.7997727,Frank Lloyd Wright
59,110 CLINTON AVE,,,,,,,Italianate,,Italianate,1880-1889,1885,approximate,,Contributing,No,No,Yes,Ridgeland/Oak Park Historic District 1994,No,No,Yes,Ridgeland/Oak Park National Register District 1983,,Second District Survey 1978,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/11780__ILLINOIS_COOK__(110-Clinton-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/11780__ILLINOIS_COOK__(110-Clinton-Ave).pdf,41.8864369,-87.7982991,Ridgeland - Oak Park
60,112 CLINTON AVE,,,,,,,Italianate,,Italianate,1880-1889,1885,approximate,,Contributing,No,No,Yes,Ridgeland/Oak Park Historic District 1994,No,No,Yes,Ridgeland/Oak Park National Register District 1983,,Second District Survey 1978,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/11781__ILLINOIS_COOK__(112-Clinton-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/11781__ILLINOIS_COOK__(112-Clinton-Ave).pdf,41.8862919,-87.7982873,Ridgeland - Oak Park
61,120 CLINTON AVE,,,,,,,Italianate,,Italianate,1880-1889,1885,approximate,,Contributing,No,No,Yes,Ridgeland/Oak Park Historic District 1994,No,No,Yes,Ridgeland/Oak Park National Register District 1983,,Second District Survey 1978,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/11785__ILLINOIS_COOK__(120-Clinton-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/11785__ILLINOIS_COOK__(120-Clinton-Ave).pdf,41.885995,-87.7982565,Ridgeland - Oak Park
62,134 CLINTON AVE,John I. Jones House no. 1,,,,,John I. Jones,Queen Anne,,Queen Anne cottage,1880-1889,1884,documented,Historical Society of Oak Park & River Forest,Contributing,No,No,Yes,Ridgeland/Oak Park Historic District 1994,No,No,Yes,Ridgeland/Oak Park National Register District 1983,,Second District Survey 1978,The house was moved north from the corner in 1897.,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/11787__ILLINOIS_COOK__(134-Clinton-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/11787__ILLINOIS_COOK__(134-Clinton-Ave).pdf,41.885685,-87.7982404,Ridgeland - Oak Park
63,215 CLINTON AVE,,,,,,,Italianate,Queen Anne,gable front,1880-1889,1880,approximate,,Contributing,No,No,Yes,Ridgeland/Oak Park Historic District 1994,No,No,Yes,Ridgeland/Oak Park National Register District 1983,,Second District Survey 1978,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/11797__ILLINOIS_COOK__(215-Clinton-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/11797__ILLINOIS_COOK__(215-Clinton-Ave).pdf,41.884827,-87.798936,Ridgeland - Oak Park
64,224 CLINTON AVE,,,,,,,Folk/Traditional,,gable front,1880-1889,1885,approximate,,Contributing,No,No,Yes,Ridgeland/Oak Park Historic District 1994,No,No,Yes,Ridgeland/Oak Park National Register District 1983,,Second District Survey 1978,Building is shown on the 1895 Sanborn Fire Insurance map.,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/11802__ILLINOIS_COOK__(224-Clinton-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/11802__ILLINOIS_COOK__(224-Clinton-Ave).pdf,41.884508,-87.7981819,Ridgeland - Oak Park
65,230 CLINTON AVE,Miller Hall House,,,,,Miller Hall,Queen Anne,,Queen Anne,1880-1889,1885,approximate,Historical Society of Oak Park & River Forest,Contributing,No,No,Yes,Ridgeland/Oak Park Historic District 1994,No,No,Yes,Ridgeland/Oak Park National Register District 1983,,Second District Survey 1978,The house is shown on the 1895 Sanborn Fire Insurance map.,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/11806__ILLINOIS_COOK__(230-Clinton-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/11806__ILLINOIS_COOK__(230-Clinton-Ave).pdf,41.884236,-87.79818,Ridgeland - Oak Park
66,244 CLINTON AVE,,,,,,,Folk/Traditional,,gable front,1880-1889,1888,approximate,,Contributing,No,No,Yes,Ridgeland/Oak Park Historic District 1994,No,No,Yes,Ridgeland/Oak Park National Register District 1983,,Second District Survey 1978,House is shown on the 1895 Sanborn Fire Insurance map.,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/11812__ILLINOIS_COOK__(244-Clinton-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/11812__ILLINOIS_COOK__(244-Clinton-Ave).pdf,41.883811,-87.7981646,Ridgeland - Oak Park
67,245 CLINTON AVE,,,,,,,Queen Anne,,gable front,1880-1889,1888,approximate,,Contributing,No,No,Yes,Ridgeland/Oak Park Historic District 1994,No,No,Yes,Ridgeland/Oak Park National Register District 1983,,Second District Survey 1978,House is shown on the 1895 Sanborn Fire Insurance map.,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/11813__ILLINOIS_COOK__(245-Clinton-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/11813__ILLINOIS_COOK__(245-Clinton-Ave).pdf,41.883769,-87.7988805,Ridgeland - Oak Park
