tax_year,agency_id,agency_code,agency_name,agency_label,agency_type,eav,total_levy,final_rate,extension,oak_park_eav_share,oak_park_extension,report_format,source_pdf,note
2023,042020000,04-2020-000,CONSOLIDATED HIGH SCHOOL 200,Oak Park and River Forest High School District 200,High School,3114942565,81712532,2.619,81580345.78,0.758235,61857047.61,legacy,042020000_2023.pdf,"District 200 also serves River Forest; eav/extension are the full district, oak_park_extension is prorated by Oak Park's share of District 200 EAV"
2023,050760000,05-0760-000,OAK PARK PARK DISTRICT,Park District of Oak Park,Parks,2361857488,12769782,0.521,12305277.51,1.0,12305277.51,legacy,050760000_2023.pdf,
2024,020180000,02-0180-000,TOWN OAK PARK,Oak Park Township,Township,2353827289,3699694,0.157177,3699675.12,1.0,3699675.12,modern,020180000_2024.pdf,
2024,020180002,02-0180-002,TOWN OAK PARK GENERAL ASSISTANCE,Oak Park Township General Assistance,Township,2353827289,805500,0.034221,805503.24,1.0,805503.24,modern,020180000_2024.pdf,Read from the GENERAL ASSISTANCE section of the TOWN OAK PARK report
2024,020180004,02-0180-004,TOWN OAK PARK MENTAL HEALTH,Oak Park Township Mental Health Board,Township,2353827289,1875544,0.079681,1875553.12,1.0,1875553.12,modern,020180000_2024.pdf,Read from the MENTAL HEALTH section of the TOWN OAK PARK report
2024,030920000,03-0920-000,VILLAGE OF OAK PARK,Village of Oak Park,Municipality,2353827289,40123282,1.704598,40123292.90,1.0,40123292.90,modern,030920000_2024.pdf,
2024,030920001,03-0920-001,VILLAGE OF OAK PARK LIBRARY FUND,Oak Park Public Library,Library,2353827289,11746120,0.499022,11746116.01,1.0,11746116.01,modern,030920000_2024.pdf,Read from the LIBRARY FUND section of the VILLAGE OF OAK PARK report
2024,040580000,04-0580-000,SCHOOL DISTRICT 97,Oak Park Elementary School District 97,Grade School,2353827289,105711837,4.39705,103498962.82,1.0,103498962.82,modern,040580000_2024.pdf,
2024,042020000,04-2020-000,CONSOLIDATED HIGH SCHOOL 200,Oak Park and River Forest High School District 200,High School,3100423241,83919819,2.706722,83919837.96,0.759195,63711561.08,modern,042020000_2024.pdf,"District 200 also serves River Forest; eav/extension are the full district, oak_park_extension is prorated by Oak Park's share of District 200 EAV"
2024,050760000,05-0760-000,OAK PARK PARK DISTRICT,Park District of Oak Park,Parks,2353827289,13285092,0.545541,12841092.93,1.0,12841092.93,modern,050760000_2024.pdf,
2025,020180000,02-0180-000,TOWN OAK PARK,Oak Park Township,Township,2333264505,3889129,0.166681,3889108.61,1.0,3889108.61,modern,020180000_2025.pdf,
2025,020180002,02-0180-002,TOWN OAK PARK GENERAL ASSISTANCE,Oak Park Township General Assistance,Township,2333264505,858000,0.036772,857988.02,1.0,857988.02,modern,020180000_2025.pdf,Read from the GENERAL ASSISTANCE section of the TOWN OAK PARK report
2025,020180004,02-0180-004,TOWN OAK PARK MENTAL HEALTH,Oak Park Township Mental Health Board,Township,2333264505,1913775,0.082021,1913766.88,1.0,1913766.88,modern,020180000_2025.pdf,Read from the MENTAL HEALTH section of the TOWN OAK PARK report
2025,030920000,03-0920-000,VILLAGE OF OAK PARK,Village of Oak Park,Municipality,2333264505,41063812,1.759929,41063798.66,1.0,41063798.66,modern,030920000_2025.pdf,
2025,030920001,03-0920-001,VILLAGE OF OAK PARK LIBRARY FUND,Oak Park Public Library,Library,2333264505,12338370,0.528803,12338372.70,1.0,12338372.70,modern,030920000_2025.pdf,Read from the LIBRARY FUND section of the VILLAGE OF OAK PARK report
2025,040580000,04-0580-000,SCHOOL DISTRICT 97,Oak Park Elementary School District 97,Grade School,2333264505,109711988,4.585931,107001900.25,1.0,107001900.25,modern,040580000_2025.pdf,
2025,042020000,04-2020-000,CONSOLIDATED HIGH SCHOOL 200,Oak Park and River Forest High School District 200,High School,3072914456,88073982,2.866138,88073968.93,0.7593,66874580.62,modern,042020000_2025.pdf,"District 200 also serves River Forest; eav/extension are the full district, oak_park_extension is prorated by Oak Park's share of District 200 EAV"
2025,050760000,05-0760-000,OAK PARK PARK DISTRICT,Park District of Oak Park,Parks,2333264505,13808290,0.568602,13266988.63,1.0,13266988.63,modern,050760000_2025.pdf,
