pin,year,class,township_code,township_name,nbhd,mailed_bldg,mailed_land,mailed_tot,certified_bldg,certified_land,certified_tot,board_bldg,board_land,board_tot,building_sqft,land_sqft,year_built,units,beds,full_baths,half_baths,cards,residential_type,sqft_source,condo_building_sqft,condo_pct_ownership,condo_est_unit_sqft,is_parking_or_common,prop_address,prop_city,prop_zip,address_year
16063080150000,2026,203,27,Oak Park,27020,47915,9085,57000,47915,9085,57000,,,,1791,5344,1917,1,3,1,0,1,1.5 Story,improvement,,,,,743 BELLEFORTE AVE,OAK PARK,60302,2026
16063080160000,2026,204,27,Oak Park,27020,64210,14790,79000,64210,14790,79000,,,,2323,8700,1891,1,4,3,0,1,1.5 Story,improvement,,,,,739 BELLEFORTE AVE,OAK PARK,60302,2026
16063080170000,2026,205,27,Oak Park,27020,43435,16565,60000,43435,16565,60000,,,,1841,9744,1891,1,3,1,1,1,2 Story,improvement,,,,,735 BELLEFORTE AVE,OAK PARK,60302,2026
16063080180000,2026,206,27,Oak Park,27020,87210,14790,102000,80223,14790,95013,,,,2431,8700,1895,1,4,4,1,1,2 Story,improvement,,,,,731 BELLEFORTE AVE,OAK PARK,60302,2026
16063080190000,2026,206,27,Oak Park,27020,96435,16565,113000,96435,16565,113000,,,,3572,9744,1924,1,4,3,1,1,2 Story,improvement,,,,,725 BELLEFORTE AVE,OAK PARK,60302,2026
16063080200000,2026,205,27,Oak Park,27020,52210,14790,67000,52210,14790,67000,,,,1804,8700,1924,1,4,2,0,1,2 Story,improvement,,,,,721 BELLEFORTE AVE,OAK PARK,60302,2026
16063080210000,2026,205,27,Oak Park,27020,54435,16565,71000,54435,16565,71000,,,,2002,9744,1888,1,4,2,0,1,2 Story,improvement,,,,,719 BELLEFORTE AVE,OAK PARK,60302,2026
16063080240000,2026,206,27,Oak Park,27020,77323,15677,93000,71717,15677,87394,,,,2425,9222,1898,1,4,3,1,1,2 Story,improvement,,,,,711 BELLEFORTE AVE,OAK PARK,60302,2026
16063080250000,2026,206,27,Oak Park,27020,77323,15677,93000,77323,15677,93000,,,,2874,9222,1941,1,4,2,0,1,2 Story,improvement,,,,,709 BELLEFORTE AVE,OAK PARK,60302,2026
16063080260000,2026,203,27,Oak Park,27020,32168,11832,44000,32168,11832,44000,,,,1089,6960,1922,1,2,1,1,1,1.5 Story,improvement,,,,,746 N MARION ST,OAK PARK,60302,2026
16063080270000,2026,201,27,Oak Park,27020,1850,13156,15006,1850,13156,15006,,,,,,,,,,,,,,,,,,742 N MARION ST,OAK PARK,60302,2026
16063080280000,2026,205,27,Oak Park,27020,55772,16228,72000,55772,16228,72000,,,,2187,9546,1893,1,4,2,1,1,2 Story,improvement,,,,,704 N MARION ST,OAK PARK,60302,2026
16063080290000,2026,211,27,Oak Park,27020,60379,8621,69000,60379,8621,69000,,,,3361,5071,1966,2,6,3,0,1,2 Story,improvement,,,,,1050 AUGUSTA ST 1,OAK PARK,60302,2026
16063080300000,2026,EX,27,Oak Park,27020,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,701 BELLEFORTE AVE,OAK PARK,60302,2026
16063080310000,2026,204,27,Oak Park,27020,61574,7426,69000,61574,7426,69000,,,,2242,4368,1927,1,4,2,0,1,1.5 Story,improvement,,,,,1040 W AUGUSTA ST,OAK PARK,60302,2026
16063090020000,2026,206,27,Oak Park,27020,88323,15677,104000,88323,15677,104000,,,,3481,9222,1886,1,5,2,0,1,2 Story,improvement,,,,,738 BELLEFORTE AVE,OAK PARK,60302,2026
16063090030000,2026,205,27,Oak Park,27020,37323,15677,53000,37323,15677,53000,,,,1292,9222,1912,1,3,1,0,1,2 Story,improvement,,,,,734 BELLEFORTE AVE,OAK PARK,60302,2026
16063090040000,2026,205,27,Oak Park,27020,54323,15677,70000,54323,15677,70000,,,,1931,9222,1923,1,3,2,0,1,2 Story,improvement,,,,,730 BELLEFORTE AVE,OAK PARK,60302,2026
16063090050000,2026,211,27,Oak Park,27020,44323,15677,60000,44323,15677,60000,,,,2304,9222,1899,2,5,2,0,1,2 Story,improvement,,,,,724 BELLEFORTE AVE,OAK PARK,60302,2026
16063090060000,2026,203,27,Oak Park,27020,44435,16565,61000,44435,16565,61000,,,,1788,9744,1893,1,3,1,1,1,1.5 Story,improvement,,,,,720 BELLEFORTE AVE,OAK PARK,60302,2026
16063090070000,2026,205,27,Oak Park,27020,54210,14790,69000,54210,14790,69000,,,,1776,8700,1899,1,3,2,0,1,2 Story,improvement,,,,,716 BELLEFORTE AVE,OAK PARK,60302,2026
16063090080000,2026,EX,27,Oak Park,27020,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,714 BELLEFORTE AVE,OAK PARK,60302,2026
16063090100000,2026,205,27,Oak Park,27020,36155,4845,41000,36155,4845,41000,,,,1248,2850,1902,1,3,1,0,1,2 Story,improvement,,,,,1009 THOMAS ST,OAK PARK,60302,2026
16063090110000,2026,203,27,Oak Park,27020,34900,5100,40000,34900,5100,40000,,,,1275,3000,1908,1,3,1,0,1,1.5 Story,improvement,,,,,745 FOREST AVE,OAK PARK,60302,2026
16063090130000,2026,203,27,Oak Park,27020,42780,10220,53000,42780,10220,53000,,,,1550,6012,1898,1,3,1,0,1,1.5 Story,improvement,,,,,741 FOREST AVE,OAK PARK,60302,2026
16063090140000,2026,205,27,Oak Park,27020,50210,14790,65000,50210,14790,65000,,,,1781,8700,1897,1,4,2,0,1,2 Story,improvement,,,,,739 FOREST AVE,OAK PARK,60302,2026
16063090150000,2026,206,27,Oak Park,27020,81210,14790,96000,75997,14790,90787,,,,2794,8700,1900,1,4,2,1,1,2 Story,improvement,,,,,735 FOREST AVE,OAK PARK,60302,2026
16063090160000,2026,206,27,Oak Park,27020,79323,15677,95000,79323,15677,95000,,,,2650,9222,1902,1,4,2,1,1,2 Story,improvement,,,,,731 FOREST AVE,OAK PARK,60302,2026
