geography,geoid,vintage,period,table,variable,label,estimate,margin_of_error,source
"Oak Park village, Illinois",16000US1754885,2021,2017-2021,B25034,B25034_001,Total:,24200,540,data.census.gov
"Oak Park village, Illinois",16000US1754885,2021,2017-2021,B25034,B25034_002,Total: > Built 2020 or later,4,7,data.census.gov
"Oak Park village, Illinois",16000US1754885,2021,2017-2021,B25034,B25034_003,Total: > Built 2010 to 2019,802,192,data.census.gov
"Oak Park village, Illinois",16000US1754885,2021,2017-2021,B25034,B25034_004,Total: > Built 2000 to 2009,796,198,data.census.gov
"Oak Park village, Illinois",16000US1754885,2021,2017-2021,B25034,B25034_005,Total: > Built 1990 to 1999,524,129,data.census.gov
"Oak Park village, Illinois",16000US1754885,2021,2017-2021,B25034,B25034_006,Total: > Built 1980 to 1989,560,193,data.census.gov
"Oak Park village, Illinois",16000US1754885,2021,2017-2021,B25034,B25034_007,Total: > Built 1970 to 1979,1942,365,data.census.gov
"Oak Park village, Illinois",16000US1754885,2021,2017-2021,B25034,B25034_008,Total: > Built 1960 to 1969,2403,326,data.census.gov
"Oak Park village, Illinois",16000US1754885,2021,2017-2021,B25034,B25034_009,Total: > Built 1950 to 1959,1451,227,data.census.gov
"Oak Park village, Illinois",16000US1754885,2021,2017-2021,B25034,B25034_010,Total: > Built 1940 to 1949,1166,258,data.census.gov
"Oak Park village, Illinois",16000US1754885,2021,2017-2021,B25034,B25034_011,Total: > Built 1939 or earlier,14552,507,data.census.gov
"Oak Park village, Illinois",16000US1754885,2021,2017-2021,B25035,B25035_001,Median year structure built,1939,,data.census.gov
"Oak Park village, Illinois",16000US1754885,2021,2017-2021,B25064,B25064_001,Median gross rent,1303,51,data.census.gov
"Oak Park village, Illinois",16000US1754885,2021,2017-2021,B25077,B25077_001,Median value (dollars),409000,13831,data.census.gov
"Oak Park village, Illinois",16000US1754885,2021,2017-2021,B15003,DERIVED_BACHELORS_OR_HIGHER_25PLUS,"Population 25 years and over with a bachelor's degree or higher (sum of B15003_022, B15003_023, B15003_024, B15003_025)",27270,1142.0,data.census.gov
"Oak Park village, Illinois",16000US1754885,2021,2017-2021,B25034,DERIVED_UNITS_BUILT_1939_OR_EARLIER,Housing units built 1939 or earlier (copy of B25034_011),14552,507,data.census.gov
"Cook County, Illinois",05000US17031,2021,2017-2021,B01002,B01002_001,Median age -- > Total:,37.3,0.1,data.census.gov
"Cook County, Illinois",05000US17031,2021,2017-2021,B01003,B01003_001,Total,5265398,,data.census.gov
"Cook County, Illinois",05000US17031,2021,2017-2021,B03002,B03002_001,Total:,5265398,,data.census.gov
"Cook County, Illinois",05000US17031,2021,2017-2021,B03002,B03002_003,Total: > Not Hispanic or Latino: > White alone,2192123,1827,data.census.gov
"Cook County, Illinois",05000US17031,2021,2017-2021,B03002,B03002_004,Total: > Not Hispanic or Latino: > Black or African American alone,1192435,2777,data.census.gov
"Cook County, Illinois",05000US17031,2021,2017-2021,B03002,B03002_006,Total: > Not Hispanic or Latino: > Asian alone,392743,2485,data.census.gov
"Cook County, Illinois",05000US17031,2021,2017-2021,B03002,B03002_012,Total: > Hispanic or Latino:,1346949,,data.census.gov
"Cook County, Illinois",05000US17031,2021,2017-2021,B15003,B15003_001,Total:,3656393,86,data.census.gov
"Cook County, Illinois",05000US17031,2021,2017-2021,B15003,B15003_022,Total: > Bachelor's degree,869960,6624,data.census.gov
"Cook County, Illinois",05000US17031,2021,2017-2021,B15003,B15003_023,Total: > Master's degree,439038,6010,data.census.gov
"Cook County, Illinois",05000US17031,2021,2017-2021,B15003,B15003_024,Total: > Professional school degree,119333,2726,data.census.gov
"Cook County, Illinois",05000US17031,2021,2017-2021,B15003,B15003_025,Total: > Doctorate degree,61600,1919,data.census.gov
"Cook County, Illinois",05000US17031,2021,2017-2021,B19013,B19013_001,Median household income in the past 12 months (in 2021 inflation-adjusted dollars),72121,523,data.census.gov
"Cook County, Illinois",05000US17031,2021,2017-2021,B25003,B25003_001,Total:,2044658,3765,data.census.gov
"Cook County, Illinois",05000US17031,2021,2017-2021,B25003,B25003_002,Total: > Owner occupied,1175143,6780,data.census.gov
"Cook County, Illinois",05000US17031,2021,2017-2021,B25003,B25003_003,Total: > Renter occupied,869515,6667,data.census.gov
"Cook County, Illinois",05000US17031,2021,2017-2021,B25034,B25034_001,Total:,2253936,976,data.census.gov
"Cook County, Illinois",05000US17031,2021,2017-2021,B25034,B25034_002,Total: > Built 2020 or later,865,214,data.census.gov
"Cook County, Illinois",05000US17031,2021,2017-2021,B25034,B25034_003,Total: > Built 2010 to 2019,69562,2107,data.census.gov
"Cook County, Illinois",05000US17031,2021,2017-2021,B25034,B25034_004,Total: > Built 2000 to 2009,169466,3577,data.census.gov
"Cook County, Illinois",05000US17031,2021,2017-2021,B25034,B25034_005,Total: > Built 1990 to 1999,148038,2769,data.census.gov
"Cook County, Illinois",05000US17031,2021,2017-2021,B25034,B25034_006,Total: > Built 1980 to 1989,163179,3314,data.census.gov
"Cook County, Illinois",05000US17031,2021,2017-2021,B25034,B25034_007,Total: > Built 1970 to 1979,278170,4111,data.census.gov
"Cook County, Illinois",05000US17031,2021,2017-2021,B25034,B25034_008,Total: > Built 1960 to 1969,283035,4005,data.census.gov
"Cook County, Illinois",05000US17031,2021,2017-2021,B25034,B25034_009,Total: > Built 1950 to 1959,333984,3679,data.census.gov
"Cook County, Illinois",05000US17031,2021,2017-2021,B25034,B25034_010,Total: > Built 1940 to 1949,166667,2910,data.census.gov
"Cook County, Illinois",05000US17031,2021,2017-2021,B25034,B25034_011,Total: > Built 1939 or earlier,640970,5296,data.census.gov
"Cook County, Illinois",05000US17031,2021,2017-2021,B25035,B25035_001,Median year structure built,1960,1,data.census.gov
"Cook County, Illinois",05000US17031,2021,2017-2021,B25064,B25064_001,Median gross rent,1214,5,data.census.gov
"Cook County, Illinois",05000US17031,2021,2017-2021,B25077,B25077_001,Median value (dollars),266800,1257,data.census.gov
"Cook County, Illinois",05000US17031,2021,2017-2021,B15003,DERIVED_BACHELORS_OR_HIGHER_25PLUS,"Population 25 years and over with a bachelor's degree or higher (sum of B15003_022, B15003_023, B15003_024, B15003_025)",1489931,9545.2,data.census.gov
"Cook County, Illinois",05000US17031,2021,2017-2021,B25034,DERIVED_UNITS_BUILT_1939_OR_EARLIER,Housing units built 1939 or earlier (copy of B25034_011),640970,5296,data.census.gov
Illinois,04000US17,2021,2017-2021,B01002,B01002_001,Median age -- > Total:,38.5,0.2,data.census.gov
Illinois,04000US17,2021,2017-2021,B01003,B01003_001,Total,12821813,,data.census.gov
Illinois,04000US17,2021,2017-2021,B03002,B03002_001,Total:,12821813,,data.census.gov
Illinois,04000US17,2021,2017-2021,B03002,B03002_003,Total: > Not Hispanic or Latino: > White alone,7721282,2623,data.census.gov
Illinois,04000US17,2021,2017-2021,B03002,B03002_004,Total: > Not Hispanic or Latino: > Black or African American alone,1773138,4809,data.census.gov
Illinois,04000US17,2021,2017-2021,B03002,B03002_006,Total: > Not Hispanic or Latino: > Asian alone,718559,3656,data.census.gov
Illinois,04000US17,2021,2017-2021,B03002,B03002_012,Total: > Hispanic or Latino:,2250076,213,data.census.gov
Illinois,04000US17,2021,2017-2021,B15003,B15003_001,Total:,8764878,1138,data.census.gov
Illinois,04000US17,2021,2017-2021,B15003,B15003_022,Total: > Bachelor's degree,1910757,10750,data.census.gov
Illinois,04000US17,2021,2017-2021,B15003,B15003_023,Total: > Master's degree,920298,9156,data.census.gov
Illinois,04000US17,2021,2017-2021,B15003,B15003_024,Total: > Professional school degree,212604,3233,data.census.gov
Illinois,04000US17,2021,2017-2021,B15003,B15003_025,Total: > Doctorate degree,125910,3030,data.census.gov
Illinois,04000US17,2021,2017-2021,B19013,B19013_001,Median household income in the past 12 months (in 2021 inflation-adjusted dollars),72563,319,data.census.gov
Illinois,04000US17,2021,2017-2021,B25003,B25003_001,Total:,4930255,7843,data.census.gov
Illinois,04000US17,2021,2017-2021,B25003,B25003_002,Total: > Owner occupied,3279322,15174,data.census.gov
Illinois,04000US17,2021,2017-2021,B25003,B25003_003,Total: > Renter occupied,1650933,10624,data.census.gov
Illinois,04000US17,2021,2017-2021,B25034,B25034_001,Total:,5412995,995,data.census.gov
Illinois,04000US17,2021,2017-2021,B25034,B25034_002,Total: > Built 2020 or later,3726,467,data.census.gov
Illinois,04000US17,2021,2017-2021,B25034,B25034_003,Total: > Built 2010 to 2019,199030,3126,data.census.gov
Illinois,04000US17,2021,2017-2021,B25034,B25034_004,Total: > Built 2000 to 2009,589438,5076,data.census.gov
Illinois,04000US17,2021,2017-2021,B25034,B25034_005,Total: > Built 1990 to 1999,600485,5262,data.census.gov
Illinois,04000US17,2021,2017-2021,B25034,B25034_006,Total: > Built 1980 to 1989,492147,5152,data.census.gov
Illinois,04000US17,2021,2017-2021,B25034,B25034_007,Total: > Built 1970 to 1979,779081,6261,data.census.gov
Illinois,04000US17,2021,2017-2021,B25034,B25034_008,Total: > Built 1960 to 1969,620401,6705,data.census.gov
Illinois,04000US17,2021,2017-2021,B25034,B25034_009,Total: > Built 1950 to 1959,673676,4997,data.census.gov
Illinois,04000US17,2021,2017-2021,B25034,B25034_010,Total: > Built 1940 to 1949,325189,4249,data.census.gov
Illinois,04000US17,2021,2017-2021,B25034,B25034_011,Total: > Built 1939 or earlier,1129822,6809,data.census.gov
Illinois,04000US17,2021,2017-2021,B25035,B25035_001,Median year structure built,1969,1,data.census.gov
Illinois,04000US17,2021,2017-2021,B25064,B25064_001,Median gross rent,1097,4,data.census.gov
Illinois,04000US17,2021,2017-2021,B25077,B25077_001,Median value (dollars),212600,688,data.census.gov
Illinois,04000US17,2021,2017-2021,B15003,DERIVED_BACHELORS_OR_HIGHER_25PLUS,"Population 25 years and over with a bachelor's degree or higher (sum of B15003_022, B15003_023, B15003_024, B15003_025)",3169569,14799.6,data.census.gov
Illinois,04000US17,2021,2017-2021,B25034,DERIVED_UNITS_BUILT_1939_OR_EARLIER,Housing units built 1939 or earlier (copy of B25034_011),1129822,6809,data.census.gov
"Oak Park village, Illinois",16000US1754885,2022,2018-2022,B01002,B01002_001,Median age -- > Total:,40.3,1.3,data.census.gov
"Oak Park village, Illinois",16000US1754885,2022,2018-2022,B01003,B01003_001,Total,53834,51,data.census.gov
"Oak Park village, Illinois",16000US1754885,2022,2018-2022,B03002,B03002_001,Total:,53834,51,data.census.gov
"Oak Park village, Illinois",16000US1754885,2022,2018-2022,B03002,B03002_003,Total: > Not Hispanic or Latino: > White alone,32324,1191,data.census.gov
"Oak Park village, Illinois",16000US1754885,2022,2018-2022,B03002,B03002_004,Total: > Not Hispanic or Latino: > Black or African American alone,10138,911,data.census.gov
"Oak Park village, Illinois",16000US1754885,2022,2018-2022,B03002,B03002_006,Total: > Not Hispanic or Latino: > Asian alone,3071,611,data.census.gov
"Oak Park village, Illinois",16000US1754885,2022,2018-2022,B03002,B03002_012,Total: > Hispanic or Latino:,4990,711,data.census.gov
"Oak Park village, Illinois",16000US1754885,2022,2018-2022,B15003,B15003_001,Total:,38006,767,data.census.gov
"Oak Park village, Illinois",16000US1754885,2022,2018-2022,B15003,B15003_022,Total: > Bachelor's degree,12546,818,data.census.gov
"Oak Park village, Illinois",16000US1754885,2022,2018-2022,B15003,B15003_023,Total: > Master's degree,9814,816,data.census.gov
"Oak Park village, Illinois",16000US1754885,2022,2018-2022,B15003,B15003_024,Total: > Professional school degree,2878,466,data.census.gov
"Oak Park village, Illinois",16000US1754885,2022,2018-2022,B15003,B15003_025,Total: > Doctorate degree,2035,275,data.census.gov
"Oak Park village, Illinois",16000US1754885,2022,2018-2022,B19013,B19013_001,Median household income in the past 12 months (in 2022 inflation-adjusted dollars),103264,3359,data.census.gov
"Oak Park village, Illinois",16000US1754885,2022,2018-2022,B25003,B25003_001,Total:,23345,585,data.census.gov
"Oak Park village, Illinois",16000US1754885,2022,2018-2022,B25003,B25003_002,Total: > Owner occupied,13894,659,data.census.gov
"Oak Park village, Illinois",16000US1754885,2022,2018-2022,B25003,B25003_003,Total: > Renter occupied,9451,603,data.census.gov
"Oak Park village, Illinois",16000US1754885,2022,2018-2022,B25034,B25034_001,Total:,24708,568,data.census.gov
"Oak Park village, Illinois",16000US1754885,2022,2018-2022,B25034,B25034_002,Total: > Built 2020 or later,22,29,data.census.gov
"Oak Park village, Illinois",16000US1754885,2022,2018-2022,B25034,B25034_003,Total: > Built 2010 to 2019,961,233,data.census.gov
"Oak Park village, Illinois",16000US1754885,2022,2018-2022,B25034,B25034_004,Total: > Built 2000 to 2009,882,228,data.census.gov
"Oak Park village, Illinois",16000US1754885,2022,2018-2022,B25034,B25034_005,Total: > Built 1990 to 1999,525,148,data.census.gov
"Oak Park village, Illinois",16000US1754885,2022,2018-2022,B25034,B25034_006,Total: > Built 1980 to 1989,634,174,data.census.gov
"Oak Park village, Illinois",16000US1754885,2022,2018-2022,B25034,B25034_007,Total: > Built 1970 to 1979,2155,388,data.census.gov
"Oak Park village, Illinois",16000US1754885,2022,2018-2022,B25034,B25034_008,Total: > Built 1960 to 1969,2369,299,data.census.gov
"Oak Park village, Illinois",16000US1754885,2022,2018-2022,B25034,B25034_009,Total: > Built 1950 to 1959,1503,265,data.census.gov
"Oak Park village, Illinois",16000US1754885,2022,2018-2022,B25034,B25034_010,Total: > Built 1940 to 1949,1091,250,data.census.gov
"Oak Park village, Illinois",16000US1754885,2022,2018-2022,B25034,B25034_011,Total: > Built 1939 or earlier,14566,549,data.census.gov
"Oak Park village, Illinois",16000US1754885,2022,2018-2022,B25035,B25035_001,Median year structure built,1938,,data.census.gov
"Oak Park village, Illinois",16000US1754885,2022,2018-2022,B25064,B25064_001,Median gross rent,1409,54,data.census.gov
"Oak Park village, Illinois",16000US1754885,2022,2018-2022,B25077,B25077_001,Median value (dollars),440500,11798,data.census.gov
"Oak Park village, Illinois",16000US1754885,2022,2018-2022,B15003,DERIVED_BACHELORS_OR_HIGHER_25PLUS,"Population 25 years and over with a bachelor's degree or higher (sum of B15003_022, B15003_023, B15003_024, B15003_025)",27273,1275.8,data.census.gov
"Oak Park village, Illinois",16000US1754885,2022,2018-2022,B25034,DERIVED_UNITS_BUILT_1939_OR_EARLIER,Housing units built 1939 or earlier (copy of B25034_011),14566,549,data.census.gov
"Cook County, Illinois",05000US17031,2022,2018-2022,B01002,B01002_001,Median age -- > Total:,37.5,0.1,data.census.gov
"Cook County, Illinois",05000US17031,2022,2018-2022,B01003,B01003_001,Total,5225367,,data.census.gov
"Cook County, Illinois",05000US17031,2022,2018-2022,B03002,B03002_001,Total:,5225367,,data.census.gov
"Cook County, Illinois",05000US17031,2022,2018-2022,B03002,B03002_003,Total: > Not Hispanic or Latino: > White alone,2148173,2148,data.census.gov
"Cook County, Illinois",05000US17031,2022,2018-2022,B03002,B03002_004,Total: > Not Hispanic or Latino: > Black or African American alone,1170790,3170,data.census.gov
"Cook County, Illinois",05000US17031,2022,2018-2022,B03002,B03002_006,Total: > Not Hispanic or Latino: > Asian alone,398558,2725,data.census.gov
"Cook County, Illinois",05000US17031,2022,2018-2022,B03002,B03002_012,Total: > Hispanic or Latino:,1352482,,data.census.gov
"Cook County, Illinois",05000US17031,2022,2018-2022,B15003,B15003_001,Total:,3639978,97,data.census.gov
"Cook County, Illinois",05000US17031,2022,2018-2022,B15003,B15003_022,Total: > Bachelor's degree,874091,7199,data.census.gov
"Cook County, Illinois",05000US17031,2022,2018-2022,B15003,B15003_023,Total: > Master's degree,446799,5281,data.census.gov
"Cook County, Illinois",05000US17031,2022,2018-2022,B15003,B15003_024,Total: > Professional school degree,118884,2986,data.census.gov
"Cook County, Illinois",05000US17031,2022,2018-2022,B15003,B15003_025,Total: > Doctorate degree,62940,2148,data.census.gov
"Cook County, Illinois",05000US17031,2022,2018-2022,B19013,B19013_001,Median household income in the past 12 months (in 2022 inflation-adjusted dollars),78304,571,data.census.gov
"Cook County, Illinois",05000US17031,2022,2018-2022,B25003,B25003_001,Total:,2066248,3899,data.census.gov
"Cook County, Illinois",05000US17031,2022,2018-2022,B25003,B25003_002,Total: > Owner occupied,1188945,7212,data.census.gov
"Cook County, Illinois",05000US17031,2022,2018-2022,B25003,B25003_003,Total: > Renter occupied,877303,6481,data.census.gov
"Cook County, Illinois",05000US17031,2022,2018-2022,B25034,B25034_001,Total:,2261319,575,data.census.gov
"Cook County, Illinois",05000US17031,2022,2018-2022,B25034,B25034_002,Total: > Built 2020 or later,3359,442,data.census.gov
"Cook County, Illinois",05000US17031,2022,2018-2022,B25034,B25034_003,Total: > Built 2010 to 2019,80644,2211,data.census.gov
"Cook County, Illinois",05000US17031,2022,2018-2022,B25034,B25034_004,Total: > Built 2000 to 2009,173833,3765,data.census.gov
"Cook County, Illinois",05000US17031,2022,2018-2022,B25034,B25034_005,Total: > Built 1990 to 1999,144727,3339,data.census.gov
"Cook County, Illinois",05000US17031,2022,2018-2022,B25034,B25034_006,Total: > Built 1980 to 1989,164663,3607,data.census.gov
"Cook County, Illinois",05000US17031,2022,2018-2022,B25034,B25034_007,Total: > Built 1970 to 1979,281969,4944,data.census.gov
"Cook County, Illinois",05000US17031,2022,2018-2022,B25034,B25034_008,Total: > Built 1960 to 1969,286810,3855,data.census.gov
"Cook County, Illinois",05000US17031,2022,2018-2022,B25034,B25034_009,Total: > Built 1950 to 1959,327973,4124,data.census.gov
"Cook County, Illinois",05000US17031,2022,2018-2022,B25034,B25034_010,Total: > Built 1940 to 1949,160787,3444,data.census.gov
"Cook County, Illinois",05000US17031,2022,2018-2022,B25034,B25034_011,Total: > Built 1939 or earlier,636554,5238,data.census.gov
"Cook County, Illinois",05000US17031,2022,2018-2022,B25035,B25035_001,Median year structure built,1960,1,data.census.gov
"Cook County, Illinois",05000US17031,2022,2018-2022,B25064,B25064_001,Median gross rent,1318,7,data.census.gov
"Cook County, Illinois",05000US17031,2022,2018-2022,B25077,B25077_001,Median value (dollars),293700,1384,data.census.gov
"Cook County, Illinois",05000US17031,2022,2018-2022,B15003,DERIVED_BACHELORS_OR_HIGHER_25PLUS,"Population 25 years and over with a bachelor's degree or higher (sum of B15003_022, B15003_023, B15003_024, B15003_025)",1502714,9656.3,data.census.gov
"Cook County, Illinois",05000US17031,2022,2018-2022,B25034,DERIVED_UNITS_BUILT_1939_OR_EARLIER,Housing units built 1939 or earlier (copy of B25034_011),636554,5238,data.census.gov
Illinois,04000US17,2022,2018-2022,B01002,B01002_001,Median age -- > Total:,38.7,0.1,data.census.gov
Illinois,04000US17,2022,2018-2022,B01003,B01003_001,Total,12757634,,data.census.gov
Illinois,04000US17,2022,2018-2022,B03002,B03002_001,Total:,12757634,,data.census.gov
Illinois,04000US17,2022,2018-2022,B03002,B03002_003,Total: > Not Hispanic or Latino: > White alone,7601615,3609,data.census.gov
Illinois,04000US17,2022,2018-2022,B03002,B03002_004,Total: > Not Hispanic or Latino: > Black or African American alone,1744151,4802,data.census.gov
Illinois,04000US17,2022,2018-2022,B03002,B03002_006,Total: > Not Hispanic or Latino: > Asian alone,731197,3808,data.census.gov
Illinois,04000US17,2022,2018-2022,B03002,B03002_012,Total: > Hispanic or Latino:,2275704,252,data.census.gov
Illinois,04000US17,2022,2018-2022,B15003,B15003_001,Total:,8746416,965,data.census.gov
Illinois,04000US17,2022,2018-2022,B15003,B15003_022,Total: > Bachelor's degree,1924339,12042,data.census.gov
Illinois,04000US17,2022,2018-2022,B15003,B15003_023,Total: > Master's degree,938097,8909,data.census.gov
Illinois,04000US17,2022,2018-2022,B15003,B15003_024,Total: > Professional school degree,214115,3632,data.census.gov
Illinois,04000US17,2022,2018-2022,B15003,B15003_025,Total: > Doctorate degree,130899,3036,data.census.gov
Illinois,04000US17,2022,2018-2022,B19013,B19013_001,Median household income in the past 12 months (in 2022 inflation-adjusted dollars),78433,297,data.census.gov
Illinois,04000US17,2022,2018-2022,B25003,B25003_001,Total:,4968761,7953,data.census.gov
Illinois,04000US17,2022,2018-2022,B25003,B25003_002,Total: > Owner occupied,3312809,15434,data.census.gov
Illinois,04000US17,2022,2018-2022,B25003,B25003_003,Total: > Renter occupied,1655952,10762,data.census.gov
Illinois,04000US17,2022,2018-2022,B25034,B25034_001,Total:,5427357,1016,data.census.gov
Illinois,04000US17,2022,2018-2022,B25034,B25034_002,Total: > Built 2020 or later,11200,824,data.census.gov
Illinois,04000US17,2022,2018-2022,B25034,B25034_003,Total: > Built 2010 to 2019,226451,4310,data.census.gov
Illinois,04000US17,2022,2018-2022,B25034,B25034_004,Total: > Built 2000 to 2009,592086,5503,data.census.gov
Illinois,04000US17,2022,2018-2022,B25034,B25034_005,Total: > Built 1990 to 1999,591417,5342,data.census.gov
Illinois,04000US17,2022,2018-2022,B25034,B25034_006,Total: > Built 1980 to 1989,494950,5202,data.census.gov
Illinois,04000US17,2022,2018-2022,B25034,B25034_007,Total: > Built 1970 to 1979,786037,5786,data.census.gov
Illinois,04000US17,2022,2018-2022,B25034,B25034_008,Total: > Built 1960 to 1969,626712,5762,data.census.gov
Illinois,04000US17,2022,2018-2022,B25034,B25034_009,Total: > Built 1950 to 1959,663801,5401,data.census.gov
Illinois,04000US17,2022,2018-2022,B25034,B25034_010,Total: > Built 1940 to 1949,317571,4360,data.census.gov
Illinois,04000US17,2022,2018-2022,B25034,B25034_011,Total: > Built 1939 or earlier,1117132,7041,data.census.gov
Illinois,04000US17,2022,2018-2022,B25035,B25035_001,Median year structure built,1970,1,data.census.gov
Illinois,04000US17,2022,2018-2022,B25064,B25064_001,Median gross rent,1179,4,data.census.gov
Illinois,04000US17,2022,2018-2022,B25077,B25077_001,Median value (dollars),239100,749,data.census.gov
Illinois,04000US17,2022,2018-2022,B15003,DERIVED_BACHELORS_OR_HIGHER_25PLUS,"Population 25 years and over with a bachelor's degree or higher (sum of B15003_022, B15003_023, B15003_024, B15003_025)",3207450,15709.5,data.census.gov
Illinois,04000US17,2022,2018-2022,B25034,DERIVED_UNITS_BUILT_1939_OR_EARLIER,Housing units built 1939 or earlier (copy of B25034_011),1117132,7041,data.census.gov
"Oak Park village, Illinois",16000US1754885,2023,2019-2023,B01002,B01002_001,Median age -- > Total:,40.6,1.1,data.census.gov
"Oak Park village, Illinois",16000US1754885,2023,2019-2023,B01003,B01003_001,Total,53315,37,data.census.gov
"Oak Park village, Illinois",16000US1754885,2023,2019-2023,B03002,B03002_001,Total:,53315,37,data.census.gov
"Oak Park village, Illinois",16000US1754885,2023,2019-2023,B03002,B03002_003,Total: > Not Hispanic or Latino: > White alone,32592,1226,data.census.gov
"Oak Park village, Illinois",16000US1754885,2023,2019-2023,B03002,B03002_004,Total: > Not Hispanic or Latino: > Black or African American alone,10310,1082,data.census.gov
"Oak Park village, Illinois",16000US1754885,2023,2019-2023,B03002,B03002_006,Total: > Not Hispanic or Latino: > Asian alone,2830,623,data.census.gov
"Oak Park village, Illinois",16000US1754885,2023,2019-2023,B03002,B03002_012,Total: > Hispanic or Latino:,4533,739,data.census.gov
"Oak Park village, Illinois",16000US1754885,2023,2019-2023,B15003,B15003_001,Total:,37578,690,data.census.gov
"Oak Park village, Illinois",16000US1754885,2023,2019-2023,B15003,B15003_022,Total: > Bachelor's degree,12737,876,data.census.gov
"Oak Park village, Illinois",16000US1754885,2023,2019-2023,B15003,B15003_023,Total: > Master's degree,9669,725,data.census.gov
"Oak Park village, Illinois",16000US1754885,2023,2019-2023,B15003,B15003_024,Total: > Professional school degree,2842,437,data.census.gov
"Oak Park village, Illinois",16000US1754885,2023,2019-2023,B15003,B15003_025,Total: > Doctorate degree,1989,309,data.census.gov
"Oak Park village, Illinois",16000US1754885,2023,2019-2023,B19013,B19013_001,Median household income in the past 12 months (in 2023 inflation-adjusted dollars),108026,4131,data.census.gov
"Oak Park village, Illinois",16000US1754885,2023,2019-2023,B25003,B25003_001,Total:,23267,543,data.census.gov
"Oak Park village, Illinois",16000US1754885,2023,2019-2023,B25003,B25003_002,Total: > Owner occupied,14128,599,data.census.gov
"Oak Park village, Illinois",16000US1754885,2023,2019-2023,B25003,B25003_003,Total: > Renter occupied,9139,579,data.census.gov
"Oak Park village, Illinois",16000US1754885,2023,2019-2023,B25034,B25034_001,Total:,24673,594,data.census.gov
"Oak Park village, Illinois",16000US1754885,2023,2019-2023,B25034,B25034_002,Total: > Built 2020 or later,84,72,data.census.gov
"Oak Park village, Illinois",16000US1754885,2023,2019-2023,B25034,B25034_003,Total: > Built 2010 to 2019,1030,240,data.census.gov
"Oak Park village, Illinois",16000US1754885,2023,2019-2023,B25034,B25034_004,Total: > Built 2000 to 2009,937,232,data.census.gov
"Oak Park village, Illinois",16000US1754885,2023,2019-2023,B25034,B25034_005,Total: > Built 1990 to 1999,560,177,data.census.gov
"Oak Park village, Illinois",16000US1754885,2023,2019-2023,B25034,B25034_006,Total: > Built 1980 to 1989,687,179,data.census.gov
"Oak Park village, Illinois",16000US1754885,2023,2019-2023,B25034,B25034_007,Total: > Built 1970 to 1979,1994,374,data.census.gov
"Oak Park village, Illinois",16000US1754885,2023,2019-2023,B25034,B25034_008,Total: > Built 1960 to 1969,2231,351,data.census.gov
"Oak Park village, Illinois",16000US1754885,2023,2019-2023,B25034,B25034_009,Total: > Built 1950 to 1959,1476,289,data.census.gov
"Oak Park village, Illinois",16000US1754885,2023,2019-2023,B25034,B25034_010,Total: > Built 1940 to 1949,1084,250,data.census.gov
"Oak Park village, Illinois",16000US1754885,2023,2019-2023,B25034,B25034_011,Total: > Built 1939 or earlier,14590,610,data.census.gov
"Oak Park village, Illinois",16000US1754885,2023,2019-2023,B25035,B25035_001,Median year structure built,1938,,data.census.gov
"Oak Park village, Illinois",16000US1754885,2023,2019-2023,B25064,B25064_001,Median gross rent,1456,57,data.census.gov
"Oak Park village, Illinois",16000US1754885,2023,2019-2023,B25077,B25077_001,Median value (dollars),456300,13010,data.census.gov
"Oak Park village, Illinois",16000US1754885,2023,2019-2023,B15003,DERIVED_BACHELORS_OR_HIGHER_25PLUS,"Population 25 years and over with a bachelor's degree or higher (sum of B15003_022, B15003_023, B15003_024, B15003_025)",27237,1256.8,data.census.gov
"Oak Park village, Illinois",16000US1754885,2023,2019-2023,B25034,DERIVED_UNITS_BUILT_1939_OR_EARLIER,Housing units built 1939 or earlier (copy of B25034_011),14590,610,data.census.gov
"Cook County, Illinois",05000US17031,2023,2019-2023,B01002,B01002_001,Median age -- > Total:,37.8,0.1,data.census.gov
"Cook County, Illinois",05000US17031,2023,2019-2023,B01003,B01003_001,Total,5185812,,data.census.gov
"Cook County, Illinois",05000US17031,2023,2019-2023,B03002,B03002_001,Total:,5185812,,data.census.gov
"Cook County, Illinois",05000US17031,2023,2019-2023,B03002,B03002_003,Total: > Not Hispanic or Latino: > White alone,2102352,2064,data.census.gov
"Cook County, Illinois",05000US17031,2023,2019-2023,B03002,B03002_004,Total: > Not Hispanic or Latino: > Black or African American alone,1148288,3269,data.census.gov
"Cook County, Illinois",05000US17031,2023,2019-2023,B03002,B03002_006,Total: > Not Hispanic or Latino: > Asian alone,397936,2680,data.census.gov
"Cook County, Illinois",05000US17031,2023,2019-2023,B03002,B03002_012,Total: > Hispanic or Latino:,1374034,,data.census.gov
"Cook County, Illinois",05000US17031,2023,2019-2023,B15003,B15003_001,Total:,3631086,110,data.census.gov
"Cook County, Illinois",05000US17031,2023,2019-2023,B15003,B15003_022,Total: > Bachelor's degree,884983,6711,data.census.gov
"Cook County, Illinois",05000US17031,2023,2019-2023,B15003,B15003_023,Total: > Master's degree,455120,6553,data.census.gov
"Cook County, Illinois",05000US17031,2023,2019-2023,B15003,B15003_024,Total: > Professional school degree,118212,3242,data.census.gov
"Cook County, Illinois",05000US17031,2023,2019-2023,B15003,B15003_025,Total: > Doctorate degree,64878,2205,data.census.gov
