geography,geoid,vintage,period,table,variable,label,estimate,margin_of_error,source
"Cook County, Illinois",05000US17031,2010,2006-2010,B25034,B25034_007,Total > Built 1960 to 1969,285399,3513,data.census.gov
"Cook County, Illinois",05000US17031,2010,2006-2010,B25034,B25034_008,Total > Built 1950 to 1959,348491,3457,data.census.gov
"Cook County, Illinois",05000US17031,2010,2006-2010,B25034,B25034_009,Total > Built 1940 to 1949,183369,2356,data.census.gov
"Cook County, Illinois",05000US17031,2010,2006-2010,B25034,B25034_010,Total > Built 1939 or earlier,675718,4007,data.census.gov
"Cook County, Illinois",05000US17031,2010,2006-2010,B25035,B25035_001,Median year structure built,1957,1,data.census.gov
"Cook County, Illinois",05000US17031,2010,2006-2010,B25064,B25064_001,Median gross rent,900,3,data.census.gov
"Cook County, Illinois",05000US17031,2010,2006-2010,B25077,B25077_001,Median value (dollars),265800,986,data.census.gov
"Cook County, Illinois",05000US17031,2010,2006-2010,B15002,DERIVED_BACHELORS_OR_HIGHER_25PLUS,"Population 25 years and over with a bachelor's degree or higher (sum of B15002_015, B15002_016, B15002_017, B15002_018, B15002_032, B15002_033, B15002_034, B15002_035)",1131925,6398.3,data.census.gov
"Cook County, Illinois",05000US17031,2010,2006-2010,B25034,DERIVED_UNITS_BUILT_1939_OR_EARLIER,Housing units built 1939 or earlier (copy of B25034_010),675718,4007,data.census.gov
Illinois,04000US17,2010,2006-2010,B01002,B01002_001,Median age > Total,36.2,0.1,data.census.gov
Illinois,04000US17,2010,2006-2010,B01003,B01003_001,Total,12745359,,data.census.gov
Illinois,04000US17,2010,2006-2010,B03002,B03002_001,Total,12745359,,data.census.gov
Illinois,04000US17,2010,2006-2010,B03002,B03002_003,Total > Not Hispanic or Latino > White alone,8202650,1787,data.census.gov
Illinois,04000US17,2010,2006-2010,B03002,B03002_004,Total > Not Hispanic or Latino > Black or African American alone,1837744,3229,data.census.gov
Illinois,04000US17,2010,2006-2010,B03002,B03002_006,Total > Not Hispanic or Latino > Asian alone,566288,2317,data.census.gov
Illinois,04000US17,2010,2006-2010,B03002,B03002_012,Total > Hispanic or Latino,1939928,321,data.census.gov
Illinois,04000US17,2010,2006-2010,B15002,B15002_001,Total,8345982,1328,data.census.gov
Illinois,04000US17,2010,2006-2010,B15002,B15002_015,Total > Male > Bachelor's degree,759077,6063,data.census.gov
Illinois,04000US17,2010,2006-2010,B15002,B15002_016,Total > Male > Master's degree,313827,3812,data.census.gov
Illinois,04000US17,2010,2006-2010,B15002,B15002_017,Total > Male > Professional school degree,105676,1995,data.census.gov
Illinois,04000US17,2010,2006-2010,B15002,B15002_018,Total > Male > Doctorate degree,55693,1487,data.census.gov
Illinois,04000US17,2010,2006-2010,B15002,B15002_032,Total > Female > Bachelor's degree,814628,4963,data.census.gov
Illinois,04000US17,2010,2006-2010,B15002,B15002_033,Total > Female > Master's degree,373752,4290,data.census.gov
Illinois,04000US17,2010,2006-2010,B15002,B15002_034,Total > Female > Professional school degree,69005,1749,data.census.gov
Illinois,04000US17,2010,2006-2010,B15002,B15002_035,Total > Female > Doctorate degree,35226,1098,data.census.gov
Illinois,04000US17,2010,2006-2010,B19013,B19013_001,Median household income in the past 12 months (in 2010 inflation-adjusted dollars),55735,210,data.census.gov
Illinois,04000US17,2010,2006-2010,B25003,B25003_001,Total,4769951,10573,data.census.gov
Illinois,04000US17,2010,2006-2010,B25003,B25003_002,Total > Owner occupied,3300691,15022,data.census.gov
Illinois,04000US17,2010,2006-2010,B25003,B25003_003,Total > Renter occupied,1469260,7825,data.census.gov
Illinois,04000US17,2010,2006-2010,B25034,B25034_001,Total,5267614,650,data.census.gov
Illinois,04000US17,2010,2006-2010,B25034,B25034_002,Total > Built 2005 or later,171655,2482,data.census.gov
Illinois,04000US17,2010,2006-2010,B25034,B25034_003,Total > Built 2000 to 2004,358774,3145,data.census.gov
Illinois,04000US17,2010,2006-2010,B25034,B25034_004,Total > Built 1990 to 1999,560625,3892,data.census.gov
Illinois,04000US17,2010,2006-2010,B25034,B25034_005,Total > Built 1980 to 1989,468049,4065,data.census.gov
Illinois,04000US17,2010,2006-2010,B25034,B25034_006,Total > Built 1970 to 1979,775239,5051,data.census.gov
Illinois,04000US17,2010,2006-2010,B25034,B25034_007,Total > Built 1960 to 1969,635128,4952,data.census.gov
Illinois,04000US17,2010,2006-2010,B25034,B25034_008,Total > Built 1950 to 1959,707982,5595,data.census.gov
Illinois,04000US17,2010,2006-2010,B25034,B25034_009,Total > Built 1940 to 1949,372084,3113,data.census.gov
Illinois,04000US17,2010,2006-2010,B25034,B25034_010,Total > Built 1939 or earlier,1218078,5861,data.census.gov
Illinois,04000US17,2010,2006-2010,B25035,B25035_001,Median year structure built,1965,1,data.census.gov
Illinois,04000US17,2010,2006-2010,B25064,B25064_001,Median gross rent,834,3,data.census.gov
Illinois,04000US17,2010,2006-2010,B25077,B25077_001,Median value (dollars),202500,529,data.census.gov
Illinois,04000US17,2010,2006-2010,B15002,DERIVED_BACHELORS_OR_HIGHER_25PLUS,"Population 25 years and over with a bachelor's degree or higher (sum of B15002_015, B15002_016, B15002_017, B15002_018, B15002_032, B15002_033, B15002_034, B15002_035)",2526884,10236.3,data.census.gov
Illinois,04000US17,2010,2006-2010,B25034,DERIVED_UNITS_BUILT_1939_OR_EARLIER,Housing units built 1939 or earlier (copy of B25034_010),1218078,5861,data.census.gov
"Oak Park village, Illinois",16000US1754885,2011,2007-2011,B01002,B01002_001,Median age > Total,38.5,1.0,data.census.gov
"Oak Park village, Illinois",16000US1754885,2011,2007-2011,B01003,B01003_001,Total,51632,40,data.census.gov
"Oak Park village, Illinois",16000US1754885,2011,2007-2011,B03002,B03002_001,Total,51632,40,data.census.gov
